FIPS,NAME,UNEMPLOYMENT,ESTIMATE,PERCENT
12087,"Monroe County, Florida",3.6,8801,11.5
12089,"Nassau County, Florida",3.3,8242,10.3
12091,"Okaloosa County, Florida",5.5,21032,10.7
12095,"Orange County, Florida",4.9,209800,16.3
12097,"Osceola County, Florida",5.5,49326,14.8
12099,"Palm Beach County, Florida",5.9,178918,12.6
12101,"Pasco County, Florida",5.3,66980,13.3
12103,"Pinellas County, Florida",5.4,125923,13.3
12105,"Polk County, Florida",5.3,106703,16.4
12107,"Putnam County, Florida",8.9,15220,21.5
12109,"St. Johns County, Florida",5.2,17838,7.7
12111,"St. Lucie County, Florida",4.9,51657,17
12113,"Santa Rosa County, Florida",5.2,17308,10.6
12115,"Sarasota County, Florida",4.6,43904,10.8
12117,"Seminole County, Florida",4.2,51750,11.4
12119,"Sumter County, Florida",-1,12115,10.5
12127,"Volusia County, Florida",4.6,73420,14.2
12131,"Walton County, Florida",4.5,8331,13.1
13013,"Barrow County, Georgia",2.9,9888,12.9
13015,"Bartow County, Georgia",3.2,15442,15.1
13021,"Bibb County, Georgia",7.1,38547,26.3
13031,"Bulloch County, Georgia",8.9,16650,24
13045,"Carroll County, Georgia",5,16713,14.9
13047,"Catoosa County, Georgia",-1,8505,12.9
13051,"Chatham County, Georgia",6.6,45636,16.6
13057,"Cherokee County, Georgia",4,17948,7.5
13059,"Clarke County, Georgia",6.3,31950,27.9
13063,"Clayton County, Georgia",6.5,57057,20.8
13067,"Cobb County, Georgia",4.7,73446,10
13073,"Columbia County, Georgia",2.7,10512,7.2
13077,"Coweta County, Georgia",4.5,13867,9.9
13089,"DeKalb County, Georgia",6.5,127476,17.5
13095,"Dougherty County, Georgia",13.2,26389,30.5
13097,"Douglas County, Georgia",4.6,18191,12.9
13113,"Fayette County, Georgia",5.3,6671,6
13115,"Floyd County, Georgia",5.7,14596,15.8
13117,"Forsyth County, Georgia",3.2,12468,5.7
13121,"Fulton County, Georgia",5.9,159400,16
13127,"Glynn County, Georgia",-1,15916,19.1
13135,"Gwinnett County, Georgia",4.2,102033,11.3
13139,"Hall County, Georgia",2.9,26561,13.7
13151,"Henry County, Georgia",6.2,21101,9.6
13153,"Houston County, Georgia",6.9,22347,14.9
13157,"Jackson County, Georgia",4.1,8097,12.7
13185,"Lowndes County, Georgia",4.7,23936,22.1
13215,"Muscogee County, Georgia",10.8,41006,21.5
13217,"Newton County, Georgia",5.7,18463,17.5
13223,"Paulding County, Georgia",3.4,13373,8.6
13245,"Richmond County, Georgia",11.2,48929,25.6
13247,"Rockdale County, Georgia",7.3,12943,14.7
13255,"Spalding County, Georgia",-1,14243,22.4
13285,"Troup County, Georgia",5.5,13731,20.3
13295,"Walker County, Georgia",7.9,12349,18.6
13297,"Walton County, Georgia",6,11385,12.8
13313,"Whitfield County, Georgia",6.3,16688,16.1
15001,"Hawaii County, Hawaii",5.5,29962,15.4
15003,"Honolulu County, Hawaii",3.9,81341,8.5
15007,"Kauai County, Hawaii",3.7,5716,8.1
15009,"Maui County, Hawaii",4.4,15578,9.5
16001,"Ada County, Idaho",3.1,46600,10.8
16005,"Bannock County, Idaho",4.4,13780,16.8
16019,"Bonneville County, Idaho",3.2,13072,11.7
16027,"Canyon County, Idaho",5.6,31525,15.1
16055,"Kootenai County, Idaho",5.2,22165,14.5
16083,"Twin Falls County, Idaho",3.1,11954,14.5
17001,"Adams County, Illinois",4.4,8223,12.8
17019,"Champaign County, Illinois",6.2,36364,18.9
17031,"Cook County, Illinois",7.1,770091,15
17037,"DeKalb County, Illinois",6,15566,15.8
17043,"DuPage County, Illinois",4,64330,7
17089,"Kane County, Illinois",5.5,55134,10.5
17091,"Kankakee County, Illinois",6.3,14958,14.2
17093,"Kendall County, Illinois",5,5778,4.6
17097,"Lake County, Illinois",5.5,59478,8.7
17099,"LaSalle County, Illinois",6.8,14193,13.3
17111,"McHenry County, Illinois",4.1,22253,7.3
17113,"McLean County, Illinois",2.8,20429,12.6
17115,"Macon County, Illinois",9.7,17760,17.3
17119,"Madison County, Illinois",5.7,34772,13.3
17143,"Peoria County, Illinois",8.9,27254,15.2
17161,"Rock Island County, Illinois",6.3,21769,15.6
17163,"St. Clair County, Illinois",6.1,39745,15.4
17167,"Sangamon County, Illinois",5.6,26767,13.8
17179,"Tazewell County, Illinois",5.4,11526,8.8
17183,"Vermilion County, Illinois",6.1,15183,20.2
17197,"Will County, Illinois",4.7,48627,7.2
17199,"Williamson County, Illinois",6.8,10423,15.9
17201,"Winnebago County, Illinois",9.8,43858,15.6
18003,"Allen County, Indiana",5.2,54642,15
18005,"Bartholomew County, Indiana",3.4,9336,11.7
18011,"Boone County, Indiana",-1,4481,7
18019,"Clark County, Indiana",4.5,11983,10.5
18035,"Delaware County, Indiana",5.7,23202,21.6
18039,"Elkhart County, Indiana",4,26390,13.2
18043,"Floyd County, Indiana",3.9,7759,10.3
18053,"Grant County, Indiana",6.1,12585,20.3
18057,"Hamilton County, Indiana",2.8,14927,4.8
18059,"Hancock County, Indiana",-1,5327,7.3
18063,"Hendricks County, Indiana",3.4,9008,5.8
18067,"Howard County, Indiana",3.7,12011,14.8
18081,"Johnson County, Indiana",3.2,11300,7.6
18085,"Kosciusko County, Indiana",4.2,7985,10.4
18089,"Lake County, Indiana",7.2,79529,16.6
18091,"LaPorte County, Indiana",6.2,16218,15.7
18095,"Madison County, Indiana",6.1,21548,17.5
18097,"Marion County, Indiana",6.3,173996,18.9
18105,"Monroe County, Indiana",5.9,30977,23.8
18109,"Morgan County, Indiana",3.6,7254,10.5
18127,"Porter County, Indiana",4.1,12749,7.8
18141,"St. Joseph County, Indiana",4.1,41889,16.2
18157,"Tippecanoe County, Indiana",3.7,30478,17.6
18163,"Vanderburgh County, Indiana",4.2,30462,17.4
18167,"Vigo County, Indiana",6.6,17567,17.8
18177,"Wayne County, Indiana",3.1,10859,17
19013,"Black Hawk County, Iowa",5.2,20556,16.1
19049,"Dallas County, Iowa",2.6,4118,4.9
19061,"Dubuque County, Iowa",3.6,9738,10.5
19103,"Johnson County, Iowa",3.1,23460,17
19113,"Linn County, Iowa",3.9,21613,10
19153,"Polk County, Iowa",3.3,50628,10.9
19155,"Pottawattamie County, Iowa",4.2,9395,10.3
19163,"Scott County, Iowa",4,22602,13.4
19169,"Story County, Iowa",2.6,16340,19.2
19193,"Woodbury County, Iowa",4.8,13318,13.3
20015,"Butler County, Kansas",4.2,5745,8.9
20045,"Douglas County, Kansas",3.9,17501,15.8
20091,"Johnson County, Kansas",2.9,32380,5.6
20103,"Leavenworth County, Kansas",5.6,6464,8.8
20161,"Riley County, Kansas",2.9,11709,18.2
20173,"Sedgwick County, Kansas",5.8,75334,14.9
20177,"Shawnee County, Kansas",4.3,18931,10.9
20209,"Wyandotte County, Kansas",6.9,31432,19.4
21015,"Boone County, Kentucky",4.1,9662,7.6
21029,"Bullitt County, Kentucky",4.1,8144,10.4
21037,"Campbell County, Kentucky",3.3,11120,12.5
21047,"Christian County, Kentucky",4.6,13938,20.8
21059,"Daviess County, Kentucky",3.9,15895,16.4
21067,"Fayette County, Kentucky",5,54406,17.9
21093,"Hardin County, Kentucky",4.5,14306,13.8
21111,"Jefferson County, Kentucky",5.6,111467,14.9
21117,"Kenton County, Kentucky",4.4,20493,12.6
21145,"McCracken County, Kentucky",4.6,11962,18.7
21151,"Madison County, Kentucky",5.8,17680,21.3
21185,"Oldham County, Kentucky",2.6,3582,5.9
21227,"Warren County, Kentucky",4.3,22037,18.5
22005,"Ascension Parish, Louisiana",6.8,12864,10.7
22015,"Bossier Parish, Louisiana",6,20555,16.7
22017,"Caddo Parish, Louisiana",7.9,63909,26.4
22019,"Calcasieu Parish, Louisiana",5.5,39035,19.9
22033,"East Baton Rouge Parish, Louisiana",6.7,86888,19.9
22045,"Iberia Parish, Louisiana",13.5,16885,23.4
22051,"Jefferson Parish, Louisiana",5.1,69610,16.1
22055,"Lafayette Parish, Louisiana",5.2,42781,18.1
22057,"Lafourche Parish, Louisiana",4.3,16447,17.1
22063,"Livingston Parish, Louisiana",5.3,17396,12.6
22071,"Orleans Parish, Louisiana",6.9,91421,24.1
22073,"Ouachita Parish, Louisiana",4,37014,24.5
22079,"Rapides Parish, Louisiana",7.7,25575,19.9
22097,"St. Landry Parish, Louisiana",5.9,21994,26.6
22103,"St. Tammany Parish, Louisiana",4.5,24598,9.8
22105,"Tangipahoa Parish, Louisiana",7.3,27350,21.5
22109,"Terrebonne Parish, Louisiana",8.9,23521,21.1
23001,"Androscoggin County, Maine",5.2,13210,12.7
23003,"Aroostook County, Maine",4,10804,16.3
23005,"Cumberland County, Maine",3.9,28431,10
23011,"Kennebec County, Maine",5.3,16479,14.1
23019,"Penobscot County, Maine",3.8,21460,14.8
23031,"York County, Maine",3.9,16132,8.1
24001,"Allegany County, Maryland",8.1,11090,17.2
24003,"Anne Arundel County, Maryland",4.5,38816,7
24005,"Baltimore County, Maryland",5.3,72978,9
24009,"Calvert County, Maryland",2.9,5282,5.8
24013,"Carroll County, Maryland",3.9,8990,5.5
24015,"Cecil County, Maryland",7.2,10099,10
24017,"Charles County, Maryland",3.2,11536,7.4
24021,"Frederick County, Maryland",4.7,16793,6.9
24025,"Harford County, Maryland",4.7,17769,7.2
24027,"Howard County, Maryland",3.3,16536,5.2
24031,"Montgomery County, Maryland",4.5,71252,6.9
24033,"Prince George's County, Maryland",5.9,81629,9.2
24037,"St. Mary's County, Maryland",4.2,9977,9.1
24043,"Washington County, Maryland",5.5,18771,13.2
24045,"Wicomico County, Maryland",9.4,17634,18
24510,"Baltimore city, Maryland",7.6,128752,21.8
25001,"Barnstable County, Massachusetts",3.5,15972,7.6
25003,"Berkshire County, Massachusetts",4.1,13182,10.9
25005,"Bristol County, Massachusetts",4.7,58070,10.7
25009,"Essex County, Massachusetts",4,81646,10.7
25011,"Franklin County, Massachusetts",4.9,6926,10
25013,"Hampden County, Massachusetts",6.5,74898,16.5
25015,"Hampshire County, Massachusetts",4.4,16535,11.9
25017,"Middlesex County, Massachusetts",3.9,117964,7.7
25021,"Norfolk County, Massachusetts",4.2,41497,6.1
25023,"Plymouth County, Massachusetts",4.4,39977,8
25025,"Suffolk County, Massachusetts",6.3,143799,19.5
25027,"Worcester County, Massachusetts",4.5,75902,9.6
26005,"Allegan County, Michigan",2.9,10303,9
26017,"Bay County, Michigan",8,15716,15.2
26021,"Berrien County, Michigan",5.8,25215,16.7
26025,"Calhoun County, Michigan",8,21973,16.8
26037,"Clinton County, Michigan",2.5,6509,8.4
26045,"Eaton County, Michigan",5.7,12005,11.2
26049,"Genesee County, Michigan",10.3,81761,20.3
26055,"Grand Traverse County, Michigan",6.6,8985,10
26065,"Ingham County, Michigan",6.6,54343,20.1
26073,"Isabella County, Michigan",7.8,15118,23.4
26075,"Jackson County, Michigan",4.5,20352,13.6
26077,"Kalamazoo County, Michigan",4.8,42141,16.6
26081,"Kent County, Michigan",4,76343,12.1
26087,"Lapeer County, Michigan",4.4,9324,10.8
26091,"Lenawee County, Michigan",4.5,11641,12.5
26093,"Livingston County, Michigan",3,10912,5.8
26099,"Macomb County, Michigan",5.5,94224,11
26103,"Marquette County, Michigan",4.6,9419,15.1
26111,"Midland County, Michigan",5.6,7771,9.5
26115,"Monroe County, Michigan",4.7,14819,10
26121,"Muskegon County, Michigan",6.9,31393,18.8
26125,"Oakland County, Michigan",4.1,106650,8.7
26139,"Ottawa County, Michigan",3.3,24520,9
26145,"Saginaw County, Michigan",7.3,33068,17.8
26147,"St. Clair County, Michigan",5.6,21781,13.8
26155,"Shiawassee County, Michigan",3.6,8106,12
26159,"Van Buren County, Michigan",5,12282,16.5
26161,"Washtenaw County, Michigan",3.6,49933,14.6
26163,"Wayne County, Michigan",9.3,395250,22.9
27003,"Anoka County, Minnesota",3,23240,6.8
27013,"Blue Earth County, Minnesota",3.9,9397,15
27019,"Carver County, Minnesota",1.9,4225,4.3
27037,"Dakota County, Minnesota",4,23278,5.6
27053,"Hennepin County, Minnesota",3.7,132137,10.9
27109,"Olmsted County, Minnesota",2.8,13027,8.6
27123,"Ramsey County, Minnesota",4.4,73203,13.9
27131,"Rice County, Minnesota",3.1,5673,9.7
27137,"St. Louis County, Minnesota",5.2,28177,14.7
27139,"Scott County, Minnesota",2.8,7784,5.5
27141,"Sherburne County, Minnesota",2.1,5703,6.3
27145,"Stearns County, Minnesota",4.6,17429,11.7
27163,"Washington County, Minnesota",2.6,11304,4.5
27171,"Wright County, Minnesota",3.9,6912,5.3
28033,"DeSoto County, Mississippi",3.6,17819,10.2
28035,"Forrest County, Mississippi",8.1,18514,25.4
28047,"Harrison County, Mississippi",11.1,40472,20.5
28049,"Hinds County, Mississippi",9.5,48244,20.8
28059,"Jackson County, Mississippi",7.3,24525,17.6
28067,"Jones County, Mississippi",4.6,13630,20.5
28075,"Lauderdale County, Mississippi",3.2,17531,23.7
28081,"Lee County, Mississippi",3.8,14332,17
28089,"Madison County, Mississippi",3.9,12426,12
28121,"Rankin County, Mississippi",3.7,13745,9.5
29019,"Boone County, Missouri",4.8,27774,16.6
29021,"Buchanan County, Missouri",5.4,14999,17.8
29031,"Cape Girardeau County, Missouri",4.9,11371,15.2
29037,"Cass County, Missouri",4.2,8792,8.7
29043,"Christian County, Missouri",2.1,8921,10.7
29047,"Clay County, Missouri",4.4,19868,8.4
29051,"Cole County, Missouri",3.1,7821,10.9
29071,"Franklin County, Missouri",5,10901,10.7
29077,"Greene County, Missouri",3.7,45710,16.5
29095,"Jackson County, Missouri",4.5,105697,15.5
29097,"Jasper County, Missouri",5.6,20301,17.5
29099,"Jefferson County, Missouri",5,22484,10.1
29165,"Platte County, Missouri",2.5,5915,6.1
29183,"St. Charles County, Missouri",2.6,20198,5.2
