FIPS,NAME,UNEMPLOYMENT,ESTIMATE,PERCENT
39035,"Cuyahoga County, Ohio",7.3,223636,18.3
39041,"Delaware County, Ohio",2.8,9083,4.7
39043,"Erie County, Ohio",3.1,9171,12.5
39045,"Fairfield County, Ohio",4.2,14445,9.7
39049,"Franklin County, Ohio",4.5,205476,16.6
39055,"Geauga County, Ohio",2.2,5451,5.8
39057,"Greene County, Ohio",4.7,18975,12.1
39061,"Hamilton County, Ohio",4.6,126002,16
39063,"Hancock County, Ohio",4.4,7385,10
39081,"Jefferson County, Ohio",7.1,10469,16.3
39085,"Lake County, Ohio",4.6,19364,8.6
39089,"Licking County, Ohio",3.7,19680,11.7
39093,"Lorain County, Ohio",4.7,36828,12.4
39095,"Lucas County, Ohio",7.9,83600,19.8
39099,"Mahoning County, Ohio",7.5,41625,18.7
39101,"Marion County, Ohio",6.1,8673,14.8
39103,"Medina County, Ohio",2.9,11394,6.5
39109,"Miami County, Ohio",4.7,9860,9.5
39113,"Montgomery County, Ohio",6.6,93949,18.2
39119,"Muskingum County, Ohio",4.5,12435,14.8
39133,"Portage County, Ohio",5.2,20743,13.5
39139,"Richland County, Ohio",5.1,17904,15.8
39141,"Ross County, Ohio",6.5,13224,18.6
39145,"Scioto County, Ohio",5,16051,22.1
39151,"Stark County, Ohio",6,48072,13.2
39153,"Summit County, Ohio",5.2,72687,13.7
39155,"Trumbull County, Ohio",5,34839,17.6
39157,"Tuscarawas County, Ohio",4.5,11525,12.7
39165,"Warren County, Ohio",3.5,11823,5.4
39169,"Wayne County, Ohio",5.1,13372,11.9
39173,"Wood County, Ohio",4,14060,11.4
40017,"Canadian County, Oklahoma",3.5,11232,8.4
40027,"Cleveland County, Oklahoma",3.7,33109,12.4
40031,"Comanche County, Oklahoma",9.4,18024,16.2
40037,"Creek County, Oklahoma",4.3,10895,15.5
40101,"Muskogee County, Oklahoma",6.3,14106,21.4
40109,"Oklahoma County, Oklahoma",4.9,124834,16.3
40119,"Payne County, Oklahoma",2.4,18413,25.1
40125,"Pottawatomie County, Oklahoma",4.8,12400,18
40131,"Rogers County, Oklahoma",5.5,8185,9.1
40143,"Tulsa County, Oklahoma",5.8,99417,15.7
40145,"Wagoner County, Oklahoma",6.1,8725,11.3
41003,"Benton County, Oregon",3.7,15546,18.4
41005,"Clackamas County, Oregon",3.7,35366,8.7
41017,"Deschutes County, Oregon",5.1,19113,10.6
41019,"Douglas County, Oregon",4.7,16692,15.6
41029,"Jackson County, Oregon",5.8,31189,14.6
41033,"Josephine County, Oregon",6.8,15239,18
41035,"Klamath County, Oregon",5.5,12408,19
41039,"Lane County, Oregon",6.5,66339,18.3
41043,"Linn County, Oregon",8.7,15975,13.1
41047,"Marion County, Oregon",4.7,44581,13.6
41051,"Multnomah County, Oregon",4.7,111262,14.2
41053,"Polk County, Oregon",5.4,9681,12.1
41059,"Umatilla County, Oregon",4.5,11369,15.7
41067,"Washington County, Oregon",4.3,51702,9
41071,"Yamhill County, Oregon",3.4,11607,11.7
42001,"Adams County, Pennsylvania",3.9,9218,9.4
42003,"Allegheny County, Pennsylvania",5,137017,11.5
42005,"Armstrong County, Pennsylvania",5.5,9100,13.8
42007,"Beaver County, Pennsylvania",5.5,15998,9.7
42011,"Berks County, Pennsylvania",6.2,52766,13.1
42013,"Blair County, Pennsylvania",5.3,16430,13.6
42017,"Bucks County, Pennsylvania",3.7,40872,6.6
42019,"Butler County, Pennsylvania",3.8,13334,7.3
42021,"Cambria County, Pennsylvania",5.8,20033,15.6
42025,"Carbon County, Pennsylvania",6.9,8210,13.1
42027,"Centre County, Pennsylvania",4.1,24173,17
42029,"Chester County, Pennsylvania",4.3,35349,7
42033,"Clearfield County, Pennsylvania",9.8,10543,14.1
42037,"Columbia County, Pennsylvania",4.3,8349,13.5
42039,"Crawford County, Pennsylvania",6.1,11832,14.4
42041,"Cumberland County, Pennsylvania",3,18620,7.9
42043,"Dauphin County, Pennsylvania",4.2,30247,11.3
42045,"Delaware County, Pennsylvania",5.1,58546,10.8
42049,"Erie County, Pennsylvania",6.1,41331,15.7
42051,"Fayette County, Pennsylvania",5.8,22645,17.5
42055,"Franklin County, Pennsylvania",4.2,13779,9.1
42063,"Indiana County, Pennsylvania",8.7,16198,20
42069,"Lackawanna County, Pennsylvania",4.4,28739,14.1
42071,"Lancaster County, Pennsylvania",3.4,56082,10.7
42073,"Lawrence County, Pennsylvania",7.2,11672,13.7
42075,"Lebanon County, Pennsylvania",4,13361,9.9
42077,"Lehigh County, Pennsylvania",6.1,48796,13.8
42079,"Luzerne County, Pennsylvania",5.5,44618,14.6
42081,"Lycoming County, Pennsylvania",4.7,16033,14.6
42085,"Mercer County, Pennsylvania",5.4,17133,16.1
42089,"Monroe County, Pennsylvania",6.7,19303,12
42091,"Montgomery County, Pennsylvania",3.9,49697,6.2
42095,"Northampton County, Pennsylvania",4.9,27078,9.3
42097,"Northumberland County, Pennsylvania",3.7,12924,14.6
42101,"Philadelphia County, Pennsylvania",9.1,384148,25.3
42107,"Schuylkill County, Pennsylvania",6.5,17479,12.8
42111,"Somerset County, Pennsylvania",5.3,9885,14.1
42125,"Washington County, Pennsylvania",4.6,19752,9.7
42129,"Westmoreland County, Pennsylvania",3.9,34269,9.8
42133,"York County, Pennsylvania",4.9,42508,9.8
44003,"Kent County, Rhode Island",4.5,15726,9.6
44005,"Newport County, Rhode Island",3.7,7120,9
44007,"Providence County, Rhode Island",6.7,96214,15.8
44009,"Washington County, Rhode Island",4.9,11789,9.8
45003,"Aiken County, South Carolina",7.9,28039,17
45007,"Anderson County, South Carolina",4.2,29703,15.4
45013,"Beaufort County, South Carolina",6.5,18326,10.3
45015,"Berkeley County, South Carolina",5,25313,12.3
45019,"Charleston County, South Carolina",3.3,57691,15
45031,"Darlington County, South Carolina",4.9,13878,21.1
45035,"Dorchester County, South Carolina",4.3,14329,9.5
45041,"Florence County, South Carolina",7.5,24811,18.3
45045,"Greenville County, South Carolina",3.9,53113,10.9
45047,"Greenwood County, South Carolina",8.1,14687,21.7
45051,"Horry County, South Carolina",6.7,47767,15
45055,"Kershaw County, South Carolina",5.9,9941,15.6
45057,"Lancaster County, South Carolina",5.8,11381,13
45059,"Laurens County, South Carolina",7.3,11753,18.2
45063,"Lexington County, South Carolina",5.3,33254,11.7
45073,"Oconee County, South Carolina",6,11021,14.6
45075,"Orangeburg County, South Carolina",9.2,19239,22.7
45077,"Pickens County, South Carolina",5.2,17297,14.9
45079,"Richland County, South Carolina",5.4,61910,16.4
45083,"Spartanburg County, South Carolina",5.2,45637,15.6
45085,"Sumter County, South Carolina",10.4,21320,20.4
45091,"York County, South Carolina",5.2,27264,10.7
46099,"Minnehaha County, South Dakota",2.7,18046,9.9
46103,"Pennington County, South Dakota",4.5,15515,14.5
47001,"Anderson County, Tennessee",4.3,10753,14.4
47009,"Blount County, Tennessee",5,14401,11.4
47011,"Bradley County, Tennessee",5.7,14448,14.2
47037,"Davidson County, Tennessee",3.9,99415,15.1
47059,"Greene County, Tennessee",5.9,11398,17
47065,"Hamilton County, Tennessee",3.7,47050,13.5
47093,"Knox County, Tennessee",3.7,65480,14.8
47113,"Madison County, Tennessee",4.8,17777,19
47119,"Maury County, Tennessee",-1,10204,11.5
47125,"Montgomery County, Tennessee",5.6,24640,12.9
47141,"Putnam County, Tennessee",5,14046,19.2
47147,"Robertson County, Tennessee",6.9,7061,10.3
47149,"Rutherford County, Tennessee",2.7,31097,10.3
47155,"Sevier County, Tennessee",5.5,14386,15.1
47157,"Shelby County, Tennessee",7,190199,20.8
47163,"Sullivan County, Tennessee",6.5,25304,16.4
47165,"Sumner County, Tennessee",2.6,17288,9.7
47179,"Washington County, Tennessee",4,18319,14.8
47187,"Williamson County, Tennessee",2.6,11292,5.2
47189,"Wilson County, Tennessee",2.6,10632,8.1
48005,"Angelina County, Texas",7.6,16085,19
48021,"Bastrop County, Texas",-1,10632,13.2
48027,"Bell County, Texas",6.6,42739,12.9
48029,"Bexar County, Texas",5.4,306859,16.3
48037,"Bowie County, Texas",5.5,16884,19.3
48039,"Brazoria County, Texas",5.1,34053,9.9
48041,"Brazos County, Texas",4.1,51022,24.9
48061,"Cameron County, Texas",5.4,121665,29.1
48085,"Collin County, Texas",3.6,58619,6.3
48091,"Comal County, Texas",3.7,11496,8.6
48099,"Coryell County, Texas",8.3,8991,14.2
48113,"Dallas County, Texas",5,413956,16.3
48121,"Denton County, Texas",3.7,65057,8.2
48135,"Ector County, Texas",7.1,21548,13.9
48139,"Ellis County, Texas",3.6,16121,9.7
48141,"El Paso County, Texas",6.2,186707,22.7
48157,"Fort Bend County, Texas",5.8,60925,8.3
48167,"Galveston County, Texas",4.4,41747,12.9
48181,"Grayson County, Texas",4.2,16550,13.2
48183,"Gregg County, Texas",4.5,20929,17.4
48187,"Guadalupe County, Texas",4.6,15051,9.8
48201,"Harris County, Texas",6.2,752261,16.6
48203,"Harrison County, Texas",5.7,11328,17.4
48209,"Hays County, Texas",5,24332,12.4
48213,"Henderson County, Texas",6.2,13151,16.8
48215,"Hidalgo County, Texas",6.6,262028,31.2
48231,"Hunt County, Texas",4.7,14584,16.3
48245,"Jefferson County, Texas",5.9,47920,20.1
48251,"Johnson County, Texas",2.9,18049,11.3
48257,"Kaufman County, Texas",4.9,13328,11.4
48291,"Liberty County, Texas",7.2,12164,15.9
48303,"Lubbock County, Texas",5,55089,18.9
48309,"McLennan County, Texas",5,44099,18.5
48329,"Midland County, Texas",2.8,15599,9.7
48339,"Montgomery County, Texas",4.8,59836,10.9
48347,"Nacogdoches County, Texas",9.4,15402,25.4
48355,"Nueces County, Texas",6.4,53441,15.1
48361,"Orange County, Texas",4.8,11751,14
48367,"Parker County, Texas",4.3,11838,9.3
48375,"Potter County, Texas",3.1,25040,22
48381,"Randall County, Texas",3.9,11784,9.1
48397,"Rockwall County, Texas",4.5,4845,5.2
48409,"San Patricio County, Texas",6,10570,15.8
48423,"Smith County, Texas",5.3,34487,15.7
48439,"Tarrant County, Texas",4.6,270348,13.6
48441,"Taylor County, Texas",3.6,22228,16.8
48451,"Tom Green County, Texas",5.5,15144,13.4
48453,"Travis County, Texas",3.4,143948,12.2
48469,"Victoria County, Texas",4.4,12900,14.2
48471,"Walker County, Texas",-1,12123,22.3
48479,"Webb County, Texas",3.7,85150,31.8
48485,"Wichita County, Texas",3.9,20099,16.8
48491,"Williamson County, Texas",3.7,30201,5.8
48497,"Wise County, Texas",4.5,7591,12
49005,"Cache County, Utah",2,15209,12.8
49011,"Davis County, Utah",2.2,21271,6.3
49035,"Salt Lake County, Utah",3.7,104297,9.4
49045,"Tooele County, Utah",4.8,5189,8.1
49049,"Utah County, Utah",3.7,66112,11.4
49053,"Washington County, Utah",3.7,19795,12.5
49057,"Weber County, Utah",4,26535,10.8
50007,"Chittenden County, Vermont",4.1,14667,9.6
51003,"Albemarle County, Virginia",2.7,8524,8.5
51013,"Arlington County, Virginia",2.5,17151,7.5
51015,"Augusta County, Virginia",3.1,6590,9.2
51019,"Bedford County, Virginia",3.7,7445,9.6
51041,"Chesterfield County, Virginia",3.5,23468,7
51059,"Fairfax County, Virginia",3.6,67736,6
51061,"Fauquier County, Virginia",4.7,3978,5.8
51069,"Frederick County, Virginia",-1,5677,6.8
51085,"Hanover County, Virginia",4.1,5900,5.8
51087,"Henrico County, Virginia",5.6,29583,9.2
51095,"James City County, Virginia",5.5,4739,6.5
51107,"Loudoun County, Virginia",3.3,13511,3.5
51121,"Montgomery County, Virginia",2.9,18030,20.3
51153,"Prince William County, Virginia",4.8,33308,7.4
51161,"Roanoke County, Virginia",3.6,6774,7.4
51165,"Rockingham County, Virginia",3.5,7575,9.7
51177,"Spotsylvania County, Virginia",6.4,9648,7.4
51179,"Stafford County, Virginia",4.9,7935,5.7
51199,"York County, Virginia",5.4,3417,5.1
51510,"Alexandria city, Virginia",3.3,16096,10.5
51550,"Chesapeake city, Virginia",4.8,20071,8.6
51650,"Hampton city, Virginia",6.5,21458,16.4
51680,"Lynchburg city, Virginia",7.1,12336,17.8
51700,"Newport News city, Virginia",6.5,25395,14.7
51710,"Norfolk city, Virginia",7.3,45219,21.3
51740,"Portsmouth city, Virginia",8.1,16775,18.2
51760,"Richmond city, Virginia",6.2,55062,26.2
51770,"Roanoke city, Virginia",5.9,21886,22.3
51800,"Suffolk city, Virginia",5.2,10303,11.7
51810,"Virginia Beach city, Virginia",4,36494,8.3
53005,"Benton County, Washington",4.2,20153,10.5
53007,"Chelan County, Washington",-1,8665,11.5
53009,"Clallam County, Washington",9.1,11110,15.3
53011,"Clark County, Washington",5.3,41909,9
53015,"Cowlitz County, Washington",8.8,16863,16.3
53021,"Franklin County, Washington",4.7,12972,14.9
53025,"Grant County, Washington",3.6,14842,16.1
53027,"Grays Harbor County, Washington",5.9,10437,15.2
53029,"Island County, Washington",4.3,7577,9.4
53033,"King County, Washington",4.3,196841,9.3
53035,"Kitsap County, Washington",3.8,25729,10.1
53041,"Lewis County, Washington",9.5,11155,14.7
53053,"Pierce County, Washington",5.1,102303,12.1
53057,"Skagit County, Washington",4.8,13787,11.3
53061,"Snohomish County, Washington",4,62396,8
53063,"Spokane County, Washington",5.1,64514,13.3
53067,"Thurston County, Washington",7.8,28354,10.4
53073,"Whatcom County, Washington",4.9,32082,15.2
53077,"Yakima County, Washington",7.3,44819,18.2
54003,"Berkeley County, West Virginia",6.5,14461,12.9
54011,"Cabell County, West Virginia",3.4,20129,21.9
54033,"Harrison County, West Virginia",4.6,9851,14.6
54039,"Kanawha County, West Virginia",6.7,30852,16.8
54061,"Monongalia County, West Virginia",6.6,18202,18.5
54081,"Raleigh County, West Virginia",8.8,12684,17.4
54107,"Wood County, West Virginia",4.6,14510,17.2
55009,"Brown County, Wisconsin",3,24903,9.8
55025,"Dane County, Wisconsin",2.5,56594,10.9
55027,"Dodge County, Wisconsin",6,8012,9.8
55035,"Eau Claire County, Wisconsin",3.2,12783,13.1
55039,"Fond du Lac County, Wisconsin",3.9,7631,7.7
55055,"Jefferson County, Wisconsin",3.9,7618,9.3
55059,"Kenosha County, Wisconsin",6,21222,13
55063,"La Crosse County, Wisconsin",2.1,14977,13.3
55071,"Manitowoc County, Wisconsin",2.4,7229,9.2
55073,"Marathon County, Wisconsin",3.8,13941,10.4
55079,"Milwaukee County, Wisconsin",5.3,183511,19.8
55087,"Outagamie County, Wisconsin",2.4,14548,8
55089,"Ozaukee County, Wisconsin",1.9,4626,5.4
55097,"Portage County, Wisconsin",2.9,7684,11.5
55101,"Racine County, Wisconsin",3.9,25798,13.6
55105,"Rock County, Wisconsin",5.5,20393,12.9
55109,"St. Croix County, Wisconsin",2.4,4917,5.6
55117,"Sheboygan County, Wisconsin",2.3,7934,7.1
55127,"Walworth County, Wisconsin",4.7,11191,11.2
55131,"Washington County, Wisconsin",1.5,7496,5.6
55133,"Waukesha County, Wisconsin",2.8,20315,5.2
55139,"Winnebago County, Wisconsin",2.6,18883,11.7
55141,"Wood County, Wisconsin",2.7,7088,9.8
56021,"Laramie County, Wyoming",5.8,9697,10.1
56025,"Natrona County, Wyoming",7.6,8244,10.4
