,fips,NAME,unemployment,estimate,percent
495,37049,"Craven County, North Carolina",7.1,15047,15.3
496,37051,"Cumberland County, North Carolina",7.7,59570,18.8
497,37057,"Davidson County, North Carolina",6.9,25150,15.4
498,37063,"Durham County, North Carolina",4.8,47269,16.1
499,37067,"Forsyth County, North Carolina",4.6,62994,17.5
500,37069,"Franklin County, North Carolina",6.1,9624,15.3
501,37071,"Gaston County, North Carolina",6.0,33562,15.7
502,37081,"Guilford County, North Carolina",6.0,92205,18.3
503,37085,"Harnett County, North Carolina",7.4,20400,16.1
504,37089,"Henderson County, North Carolina",3.2,13707,12.2
505,37097,"Iredell County, North Carolina",4.7,18166,10.6
506,37101,"Johnston County, North Carolina",4.4,25065,13.2
507,37109,"Lincoln County, North Carolina",4.0,10179,12.7
508,37119,"Mecklenburg County, North Carolina",4.2,127889,12.3
509,37125,"Moore County, North Carolina",4.8,10766,11.4
510,37127,"Nash County, North Carolina",4.8,15151,16.5
511,37129,"New Hanover County, North Carolina",4.7,37472,17.3
512,37133,"Onslow County, North Carolina",8.2,23670,13.7
513,37135,"Orange County, North Carolina",3.1,17049,12.8
514,37147,"Pitt County, North Carolina",7.5,36594,21.5
515,37151,"Randolph County, North Carolina",5.6,20481,14.4
516,37155,"Robeson County, North Carolina",6.6,35835,27.8
517,37157,"Rockingham County, North Carolina",4.9,16352,18.1
518,37159,"Rowan County, North Carolina",6.7,22283,16.5
519,37161,"Rutherford County, North Carolina",-999999999.0,12096,18.6
520,37171,"Surry County, North Carolina",3.9,12102,17
521,37179,"Union County, North Carolina",3.9,20266,9
522,37183,"Wake County, North Carolina",3.5,94001,9.2
523,37191,"Wayne County, North Carolina",6.1,24889,20.6
524,37193,"Wilkes County, North Carolina",-999999999.0,11378,16.8
525,37195,"Wilson County, North Carolina",10.0,17798,22.3
526,38015,"Burleigh County, North Dakota",1.5,6505,7.2
527,38017,"Cass County, North Dakota",2.8,18151,10.7
528,38035,"Grand Forks County, North Dakota",4.9,9318,13.9
529,38101,"Ward County, North Dakota",4.7,5903,8.8
530,39003,"Allen County, Ohio",5.5,15101,15.5
531,39007,"Ashtabula County, Ohio",7.5,17202,18.2
532,39009,"Athens County, Ohio",6.0,16044,28.8
533,39013,"Belmont County, Ohio",3.9,10135,15.7
534,39017,"Butler County, Ohio",4.3,45165,12.4
535,39023,"Clark County, Ohio",6.9,20643,15.7
536,39025,"Clermont County, Ohio",4.2,21281,10.6
537,39029,"Columbiana County, Ohio",5.8,17130,17.2
538,39035,"Cuyahoga County, Ohio",7.3,223636,18.3
539,39041,"Delaware County, Ohio",2.8,9083,4.7
540,39043,"Erie County, Ohio",3.1,9171,12.5
541,39045,"Fairfield County, Ohio",4.2,14445,9.7
542,39049,"Franklin County, Ohio",4.5,205476,16.6
543,39055,"Geauga County, Ohio",2.2,5451,5.8
544,39057,"Greene County, Ohio",4.7,18975,12.1
545,39061,"Hamilton County, Ohio",4.6,126002,16
546,39063,"Hancock County, Ohio",4.4,7385,10
547,39081,"Jefferson County, Ohio",7.1,10469,16.3
548,39085,"Lake County, Ohio",4.6,19364,8.6
549,39089,"Licking County, Ohio",3.7,19680,11.7
550,39093,"Lorain County, Ohio",4.7,36828,12.4
551,39095,"Lucas County, Ohio",7.9,83600,19.8
552,39099,"Mahoning County, Ohio",7.5,41625,18.7
553,39101,"Marion County, Ohio",6.1,8673,14.8
554,39103,"Medina County, Ohio",2.9,11394,6.5
555,39109,"Miami County, Ohio",4.7,9860,9.5
556,39113,"Montgomery County, Ohio",6.6,93949,18.2
557,39119,"Muskingum County, Ohio",4.5,12435,14.8
558,39133,"Portage County, Ohio",5.2,20743,13.5
559,39139,"Richland County, Ohio",5.1,17904,15.8
560,39141,"Ross County, Ohio",6.5,13224,18.6
561,39145,"Scioto County, Ohio",5.0,16051,22.1
562,39151,"Stark County, Ohio",6.0,48072,13.2
563,39153,"Summit County, Ohio",5.2,72687,13.7
564,39155,"Trumbull County, Ohio",5.0,34839,17.6
565,39157,"Tuscarawas County, Ohio",4.5,11525,12.7
566,39165,"Warren County, Ohio",3.5,11823,5.4
567,39169,"Wayne County, Ohio",5.1,13372,11.9
568,39173,"Wood County, Ohio",4.0,14060,11.4
569,40017,"Canadian County, Oklahoma",3.5,11232,8.4
570,40027,"Cleveland County, Oklahoma",3.7,33109,12.4
571,40031,"Comanche County, Oklahoma",9.4,18024,16.2
572,40037,"Creek County, Oklahoma",4.3,10895,15.5
573,40101,"Muskogee County, Oklahoma",6.3,14106,21.4
574,40109,"Oklahoma County, Oklahoma",4.9,124834,16.3
575,40119,"Payne County, Oklahoma",2.4,18413,25.1
576,40125,"Pottawatomie County, Oklahoma",4.8,12400,18
577,40131,"Rogers County, Oklahoma",5.5,8185,9.1
578,40143,"Tulsa County, Oklahoma",5.8,99417,15.7
579,40145,"Wagoner County, Oklahoma",6.1,8725,11.3
580,41003,"Benton County, Oregon",3.7,15546,18.4
581,41005,"Clackamas County, Oregon",3.7,35366,8.7
582,41017,"Deschutes County, Oregon",5.1,19113,10.6
583,41019,"Douglas County, Oregon",4.7,16692,15.6
584,41029,"Jackson County, Oregon",5.8,31189,14.6
585,41033,"Josephine County, Oregon",6.8,15239,18
586,41035,"Klamath County, Oregon",5.5,12408,19
587,41039,"Lane County, Oregon",6.5,66339,18.3
588,41043,"Linn County, Oregon",8.7,15975,13.1
589,41047,"Marion County, Oregon",4.7,44581,13.6
590,41051,"Multnomah County, Oregon",4.7,111262,14.2
591,41053,"Polk County, Oregon",5.4,9681,12.1
592,41059,"Umatilla County, Oregon",4.5,11369,15.7
593,41067,"Washington County, Oregon",4.3,51702,9
594,41071,"Yamhill County, Oregon",3.4,11607,11.7
595,42001,"Adams County, Pennsylvania",3.9,9218,9.4
596,42003,"Allegheny County, Pennsylvania",5.0,137017,11.5
597,42005,"Armstrong County, Pennsylvania",5.5,9100,13.8
598,42007,"Beaver County, Pennsylvania",5.5,15998,9.7
599,42011,"Berks County, Pennsylvania",6.2,52766,13.1
600,42013,"Blair County, Pennsylvania",5.3,16430,13.6
601,42017,"Bucks County, Pennsylvania",3.7,40872,6.6
602,42019,"Butler County, Pennsylvania",3.8,13334,7.3
603,42021,"Cambria County, Pennsylvania",5.8,20033,15.6
604,42025,"Carbon County, Pennsylvania",6.9,8210,13.1
605,42027,"Centre County, Pennsylvania",4.1,24173,17
606,42029,"Chester County, Pennsylvania",4.3,35349,7
607,42033,"Clearfield County, Pennsylvania",9.8,10543,14.1
608,42037,"Columbia County, Pennsylvania",4.3,8349,13.5
609,42039,"Crawford County, Pennsylvania",6.1,11832,14.4
610,42041,"Cumberland County, Pennsylvania",3.0,18620,7.9
611,42043,"Dauphin County, Pennsylvania",4.2,30247,11.3
612,42045,"Delaware County, Pennsylvania",5.1,58546,10.8
613,42049,"Erie County, Pennsylvania",6.1,41331,15.7
614,42051,"Fayette County, Pennsylvania",5.8,22645,17.5
615,42055,"Franklin County, Pennsylvania",4.2,13779,9.1
616,42063,"Indiana County, Pennsylvania",8.7,16198,20
617,42069,"Lackawanna County, Pennsylvania",4.4,28739,14.1
618,42071,"Lancaster County, Pennsylvania",3.4,56082,10.7
619,42073,"Lawrence County, Pennsylvania",7.2,11672,13.7
620,42075,"Lebanon County, Pennsylvania",4.0,13361,9.9
621,42077,"Lehigh County, Pennsylvania",6.1,48796,13.8
622,42079,"Luzerne County, Pennsylvania",5.5,44618,14.6
623,42081,"Lycoming County, Pennsylvania",4.7,16033,14.6
624,42085,"Mercer County, Pennsylvania",5.4,17133,16.1
625,42089,"Monroe County, Pennsylvania",6.7,19303,12
626,42091,"Montgomery County, Pennsylvania",3.9,49697,6.2
627,42095,"Northampton County, Pennsylvania",4.9,27078,9.3
628,42097,"Northumberland County, Pennsylvania",3.7,12924,14.6
629,42101,"Philadelphia County, Pennsylvania",9.1,384148,25.3
630,42107,"Schuylkill County, Pennsylvania",6.5,17479,12.8
631,42111,"Somerset County, Pennsylvania",5.3,9885,14.1
632,42125,"Washington County, Pennsylvania",4.6,19752,9.7
633,42129,"Westmoreland County, Pennsylvania",3.9,34269,9.8
634,42133,"York County, Pennsylvania",4.9,42508,9.8
635,44003,"Kent County, Rhode Island",4.5,15726,9.6
636,44005,"Newport County, Rhode Island",3.7,7120,9
637,44007,"Providence County, Rhode Island",6.7,96214,15.8
638,44009,"Washington County, Rhode Island",4.9,11789,9.8
639,45003,"Aiken County, South Carolina",7.9,28039,17
640,45007,"Anderson County, South Carolina",4.2,29703,15.4
641,45013,"Beaufort County, South Carolina",6.5,18326,10.3
642,45015,"Berkeley County, South Carolina",5.0,25313,12.3
643,45019,"Charleston County, South Carolina",3.3,57691,15
644,45031,"Darlington County, South Carolina",4.9,13878,21.1
645,45035,"Dorchester County, South Carolina",4.3,14329,9.5
646,45041,"Florence County, South Carolina",7.5,24811,18.3
647,45045,"Greenville County, South Carolina",3.9,53113,10.9
648,45047,"Greenwood County, South Carolina",8.1,14687,21.7
649,45051,"Horry County, South Carolina",6.7,47767,15
650,45055,"Kershaw County, South Carolina",5.9,9941,15.6
651,45057,"Lancaster County, South Carolina",5.8,11381,13
652,45059,"Laurens County, South Carolina",7.3,11753,18.2
653,45063,"Lexington County, South Carolina",5.3,33254,11.7
654,45073,"Oconee County, South Carolina",6.0,11021,14.6
655,45075,"Orangeburg County, South Carolina",9.2,19239,22.7
656,45077,"Pickens County, South Carolina",5.2,17297,14.9
657,45079,"Richland County, South Carolina",5.4,61910,16.4
658,45083,"Spartanburg County, South Carolina",5.2,45637,15.6
659,45085,"Sumter County, South Carolina",10.4,21320,20.4
660,45091,"York County, South Carolina",5.2,27264,10.7
661,46099,"Minnehaha County, South Dakota",2.7,18046,9.9
662,46103,"Pennington County, South Dakota",4.5,15515,14.5
663,47001,"Anderson County, Tennessee",4.3,10753,14.4
664,47009,"Blount County, Tennessee",5.0,14401,11.4
665,47011,"Bradley County, Tennessee",5.7,14448,14.2
666,47037,"Davidson County, Tennessee",3.9,99415,15.1
667,47059,"Greene County, Tennessee",5.9,11398,17
668,47065,"Hamilton County, Tennessee",3.7,47050,13.5
669,47093,"Knox County, Tennessee",3.7,65480,14.8
670,47113,"Madison County, Tennessee",4.8,17777,19
671,47119,"Maury County, Tennessee",-999999999.0,10204,11.5
672,47125,"Montgomery County, Tennessee",5.6,24640,12.9
673,47141,"Putnam County, Tennessee",5.0,14046,19.2
674,47147,"Robertson County, Tennessee",6.9,7061,10.3
675,47149,"Rutherford County, Tennessee",2.7,31097,10.3
676,47155,"Sevier County, Tennessee",5.5,14386,15.1
677,47157,"Shelby County, Tennessee",7.0,190199,20.8
678,47163,"Sullivan County, Tennessee",6.5,25304,16.4
679,47165,"Sumner County, Tennessee",2.6,17288,9.7
680,47179,"Washington County, Tennessee",4.0,18319,14.8
681,47187,"Williamson County, Tennessee",2.6,11292,5.2
682,47189,"Wilson County, Tennessee",2.6,10632,8.1
683,48005,"Angelina County, Texas",7.6,16085,19
684,48021,"Bastrop County, Texas",-999999999.0,10632,13.2
685,48027,"Bell County, Texas",6.6,42739,12.9
686,48029,"Bexar County, Texas",5.4,306859,16.3
687,48037,"Bowie County, Texas",5.5,16884,19.3
688,48039,"Brazoria County, Texas",5.1,34053,9.9
689,48041,"Brazos County, Texas",4.1,51022,24.9
690,48061,"Cameron County, Texas",5.4,121665,29.1
691,48085,"Collin County, Texas",3.6,58619,6.3
692,48091,"Comal County, Texas",3.7,11496,8.6
693,48099,"Coryell County, Texas",8.3,8991,14.2
694,48113,"Dallas County, Texas",5.0,413956,16.3
695,48121,"Denton County, Texas",3.7,65057,8.2
696,48135,"Ector County, Texas",7.1,21548,13.9
697,48139,"Ellis County, Texas",3.6,16121,9.7
698,48141,"El Paso County, Texas",6.2,186707,22.7
699,48157,"Fort Bend County, Texas",5.8,60925,8.3
700,48167,"Galveston County, Texas",4.4,41747,12.9
701,48181,"Grayson County, Texas",4.2,16550,13.2
702,48183,"Gregg County, Texas",4.5,20929,17.4
703,48187,"Guadalupe County, Texas",4.6,15051,9.8
704,48201,"Harris County, Texas",6.2,752261,16.6
705,48203,"Harrison County, Texas",5.7,11328,17.4
706,48209,"Hays County, Texas",5.0,24332,12.4
707,48213,"Henderson County, Texas",6.2,13151,16.8
708,48215,"Hidalgo County, Texas",6.6,262028,31.2
709,48231,"Hunt County, Texas",4.7,14584,16.3
710,48245,"Jefferson County, Texas",5.9,47920,20.1
711,48251,"Johnson County, Texas",2.9,18049,11.3
712,48257,"Kaufman County, Texas",4.9,13328,11.4
713,48291,"Liberty County, Texas",7.2,12164,15.9
714,48303,"Lubbock County, Texas",5.0,55089,18.9
715,48309,"McLennan County, Texas",5.0,44099,18.5
716,48329,"Midland County, Texas",2.8,15599,9.7
717,48339,"Montgomery County, Texas",4.8,59836,10.9
718,48347,"Nacogdoches County, Texas",9.4,15402,25.4
719,48355,"Nueces County, Texas",6.4,53441,15.1
720,48361,"Orange County, Texas",4.8,11751,14
721,48367,"Parker County, Texas",4.3,11838,9.3
722,48375,"Potter County, Texas",3.1,25040,22
723,48381,"Randall County, Texas",3.9,11784,9.1
724,48397,"Rockwall County, Texas",4.5,4845,5.2
725,48409,"San Patricio County, Texas",6.0,10570,15.8
726,48423,"Smith County, Texas",5.3,34487,15.7
727,48439,"Tarrant County, Texas",4.6,270348,13.6
728,48441,"Taylor County, Texas",3.6,22228,16.8
729,48451,"Tom Green County, Texas",5.5,15144,13.4
730,48453,"Travis County, Texas",3.4,143948,12.2
731,48469,"Victoria County, Texas",4.4,12900,14.2
732,48471,"Walker County, Texas",-999999999.0,12123,22.3
733,48479,"Webb County, Texas",3.7,85150,31.8
734,48485,"Wichita County, Texas",3.9,20099,16.8
735,48491,"Williamson County, Texas",3.7,30201,5.8
736,48497,"Wise County, Texas",4.5,7591,12
737,49005,"Cache County, Utah",2.0,15209,12.8
738,49011,"Davis County, Utah",2.2,21271,6.3
739,49035,"Salt Lake County, Utah",3.7,104297,9.4
740,49045,"Tooele County, Utah",4.8,5189,8.1
741,49049,"Utah County, Utah",3.7,66112,11.4
742,49053,"Washington County, Utah",3.7,19795,12.5
743,49057,"Weber County, Utah",4.0,26535,10.8
744,50007,"Chittenden County, Vermont",4.1,14667,9.6
745,51003,"Albemarle County, Virginia",2.7,8524,8.5
746,51013,"Arlington County, Virginia",2.5,17151,7.5
747,51015,"Augusta County, Virginia",3.1,6590,9.2
748,51019,"Bedford County, Virginia",3.7,7445,9.6
749,51041,"Chesterfield County, Virginia",3.5,23468,7
750,51059,"Fairfax County, Virginia",3.6,67736,6
751,51061,"Fauquier County, Virginia",4.7,3978,5.8
752,51069,"Frederick County, Virginia",-999999999.0,5677,6.8
753,51085,"Hanover County, Virginia",4.1,5900,5.8
754,51087,"Henrico County, Virginia",5.6,29583,9.2
755,51095,"James City County, Virginia",5.5,4739,6.5
756,51107,"Loudoun County, Virginia",3.3,13511,3.5
757,51121,"Montgomery County, Virginia",2.9,18030,20.3
758,51153,"Prince William County, Virginia",4.8,33308,7.4
759,51161,"Roanoke County, Virginia",3.6,6774,7.4
760,51165,"Rockingham County, Virginia",3.5,7575,9.7
761,51177,"Spotsylvania County, Virginia",6.4,9648,7.4
762,51179,"Stafford County, Virginia",4.9,7935,5.7
763,51199,"York County, Virginia",5.4,3417,5.1
764,51510,"Alexandria city, Virginia",3.3,16096,10.5
765,51550,"Chesapeake city, Virginia",4.8,20071,8.6
766,51650,"Hampton city, Virginia",6.5,21458,16.4
767,51680,"Lynchburg city, Virginia",7.1,12336,17.8
768,51700,"Newport News city, Virginia",6.5,25395,14.7
769,51710,"Norfolk city, Virginia",7.3,45219,21.3
770,51740,"Portsmouth city, Virginia",8.1,16775,18.2
771,51760,"Richmond city, Virginia",6.2,55062,26.2
772,51770,"Roanoke city, Virginia",5.9,21886,22.3
773,51800,"Suffolk city, Virginia",5.2,10303,11.7
774,51810,"Virginia Beach city, Virginia",4.0,36494,8.3
775,53005,"Benton County, Washington",4.2,20153,10.5
776,53007,"Chelan County, Washington",-999999999.0,8665,11.5
777,53009,"Clallam County, Washington",9.1,11110,15.3
778,53011,"Clark County, Washington",5.3,41909,9
779,53015,"Cowlitz County, Washington",8.8,16863,16.3
780,53021,"Franklin County, Washington",4.7,12972,14.9
781,53025,"Grant County, Washington",3.6,14842,16.1
782,53027,"Grays Harbor County, Washington",5.9,10437,15.2
783,53029,"Island County, Washington",4.3,7577,9.4
784,53033,"King County, Washington",4.3,196841,9.3
785,53035,"Kitsap County, Washington",3.8,25729,10.1
786,53041,"Lewis County, Washington",9.5,11155,14.7
787,53053,"Pierce County, Washington",5.1,102303,12.1
788,53057,"Skagit County, Washington",4.8,13787,11.3
789,53061,"Snohomish County, Washington",4.0,62396,8
790,53063,"Spokane County, Washington",5.1,64514,13.3
791,53067,"Thurston County, Washington",7.8,28354,10.4
792,53073,"Whatcom County, Washington",4.9,32082,15.2
793,53077,"Yakima County, Washington",7.3,44819,18.2
794,54003,"Berkeley County, West Virginia",6.5,14461,12.9
795,54011,"Cabell County, West Virginia",3.4,20129,21.9
796,54033,"Harrison County, West Virginia",4.6,9851,14.6
797,54039,"Kanawha County, West Virginia",6.7,30852,16.8
798,54061,"Monongalia County, West Virginia",6.6,18202,18.5
799,54081,"Raleigh County, West Virginia",8.8,12684,17.4
800,54107,"Wood County, West Virginia",4.6,14510,17.2
801,55009,"Brown County, Wisconsin",3.0,24903,9.8
802,55025,"Dane County, Wisconsin",2.5,56594,10.9
803,55027,"Dodge County, Wisconsin",6.0,8012,9.8
804,55035,"Eau Claire County, Wisconsin",3.2,12783,13.1
805,55039,"Fond du Lac County, Wisconsin",3.9,7631,7.7
806,55055,"Jefferson County, Wisconsin",3.9,7618,9.3
807,55059,"Kenosha County, Wisconsin",6.0,21222,13
808,55063,"La Crosse County, Wisconsin",2.1,14977,13.3
809,55071,"Manitowoc County, Wisconsin",2.4,7229,9.2
810,55073,"Marathon County, Wisconsin",3.8,13941,10.4
811,55079,"Milwaukee County, Wisconsin",5.3,183511,19.8
812,55087,"Outagamie County, Wisconsin",2.4,14548,8
813,55089,"Ozaukee County, Wisconsin",1.9,4626,5.4
814,55097,"Portage County, Wisconsin",2.9,7684,11.5
815,55101,"Racine County, Wisconsin",3.9,25798,13.6
816,55105,"Rock County, Wisconsin",5.5,20393,12.9
817,55109,"St. Croix County, Wisconsin",2.4,4917,5.6
818,55117,"Sheboygan County, Wisconsin",2.3,7934,7.1
819,55127,"Walworth County, Wisconsin",4.7,11191,11.2
820,55131,"Washington County, Wisconsin",1.5,7496,5.6
821,55133,"Waukesha County, Wisconsin",2.8,20315,5.2
822,55139,"Winnebago County, Wisconsin",2.6,18883,11.7
823,55141,"Wood County, Wisconsin",2.7,7088,9.8
824,56021,"Laramie County, Wyoming",5.8,9697,10.1
825,56025,"Natrona County, Wyoming",7.6,8244,10.4
